Tickers,Shares
JPM,242.43137338769705
BK,738.9266488819981
HOOD,1545.841322261841
GM,1134.6935915912952
SHOP.TO,506.09027930096
GOOG,301.5048148946721
LOW,218.4406855686502
BAC,1294.0861156865299
AAPL,236.27502088501475
SPG,330.78570993646883
AXP,195.44959192004586
SQ,600.2143348955987
